C-16 POPULATION BY MOTHER TONGUE,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Table,State,District,Town,Area name,Mother,Mother tongue name,Total,,,Rural,,,Urban,,
name,code,code,code,,tongue,,P,M,F,P,M,F,P,M,F
,,,,,code,,1,2,3,4,5,6,7,8,9
,,,,,,,,,,,,,,,
C0116,29,000,000000,KARNATAKA,059003, Kinnauri,20,12,8,0,0,0,20,12,8
C0116,29,000,000000,KARNATAKA,060000,60 KISAN ,3,2,1,0,0,0,3,2,1
C0116,29,000,000000,KARNATAKA,060002, Kisan,3,2,1,0,0,0,3,2,1
C0116,29,000,000000,KARNATAKA,061000,61 KOCH ,3,0,3,0,0,0,3,0,3
C0116,29,000,000000,KARNATAKA,061002, Koch,3,0,3,0,0,0,3,0,3
C0116,29,000,000000,KARNATAKA,062000,62 KODA/KORA ,142,78,64,0,0,0,142,78,64
C0116,29,000,000000,KARNATAKA,062003, Koda/Kora,142,78,64,0,0,0,142,78,64
C0116,29,000,000000,KARNATAKA,064000,64 KOM,61,33,28,0,0,0,61,33,28
C0116,29,000,000000,KARNATAKA,064001, Kom,61,33,28,0,0,0,61,33,28
C0116,29,000,000000,KARNATAKA,065000,65 KONDA,7,3,4,0,0,0,7,3,4
C0116,29,000,000000,KARNATAKA,065003, Konda,7,3,4,0,0,0,7,3,4
C0116,29,000,000000,KARNATAKA,066000,66 KONYAK ,4,4,0,0,0,0,4,4,0
C0116,29,000,000000,KARNATAKA,066001, Konyak,4,4,0,0,0,0,4,4,0
C0116,29,000,000000,KARNATAKA,067000,67 KORKU ,4,3,1,0,0,0,4,3,1
C0116,29,000,000000,KARNATAKA,067001, Korku,4,3,1,0,0,0,4,3,1
C0116,29,000,000000,KARNATAKA,068000,68 KORWA ,122,69,53,0,0,0,122,69,53
C0116,29,000,000000,KARNATAKA,068003, Koraku,4,3,1,0,0,0,4,3,1
C0116,29,000,000000,KARNATAKA,068999,68 Others ,118,66,52,0,0,0,118,66,52
C0116,29,000,000000,KARNATAKA,070000,70 KUI ,4,2,2,0,0,0,4,2,2
C0116,29,000,000000,KARNATAKA,070001, Kui,4,2,2,0,0,0,4,2,2
C0116,29,000,000000,KARNATAKA,071000,71 KUKI,107,52,55,0,0,0,107,52,55
C0116,29,000,000000,KARNATAKA,071008, Kuki,104,49,55,0,0,0,104,49,55
C0116,29,000,000000,KARNATAKA,071999,71 Others ,3,3,0,0,0,0,3,3,0
C0116,29,000,000000,KARNATAKA,072000,72 KURUKH/ORAON ,167,68,99,0,0,0,167,68,99
C0116,29,000,000000,KARNATAKA,072024, Kurukh/Oraon,165,67,98,0,0,0,165,67,98
C0116,29,000,000000,KARNATAKA,072999,72 Others ,2,1,1,0,0,0,2,1,1
C0116,29,000,000000,KARNATAKA,073000,73 LADAKHI ,88,77,11,0,0,0,88,77,11
C0116,29,000,000000,KARNATAKA,073003, Ladakhi,88,77,11,0,0,0,88,77,11
C0116,29,000,000000,KARNATAKA,075000,75 LAHNDA ,274,141,133,0,0,0,274,141,133
C0116,29,000,000000,KARNATAKA,075006, Hindi Multani,14,7,7,0,0,0,14,7,7
C0116,29,000,000000,KARNATAKA,075999,75 Others ,260,134,126,0,0,0,260,134,126
C0116,29,000,000000,KARNATAKA,076000,76 LAKHER,46,25,21,0,0,0,46,25,21
C0116,29,000,000000,KARNATAKA,076002, Mara,46,25,21,0,0,0,46,25,21
C0116,29,000,000000,KARNATAKA,078000,78 LEPCHA ,19,9,10,0,0,0,19,9,10
C0116,29,000,000000,KARNATAKA,078001, Lepcha,19,9,10,0,0,0,19,9,10
C0116,29,000,000000,KARNATAKA,080000,80 LIMBU ,4,1,3,0,0,0,4,1,3
C0116,29,000,000000,KARNATAKA,080002, Limbu,4,1,3,0,0,0,4,1,3
C0116,29,000,000000,KARNATAKA,081000,81 LOTHA ,43,19,24,0,0,0,43,19,24
C0116,29,000,000000,KARNATAKA,081001, Lotha,43,19,24,0,0,0,43,19,24
C0116,29,000,000000,KARNATAKA,082000,82 LUSHAI/MIZO ,425,182,243,0,0,0,425,182,243
C0116,29,000,000000,KARNATAKA,082005, Lushai/Mizo,425,182,243,0,0,0,425,182,243
C0116,29,000,000000,KARNATAKA,083000,83 MALTO ,6,5,1,0,0,0,6,5,1
